GEOID_ZCTA,total_pop
62062,8008
62070,48
62082,2746
62084,1464
62085,192
62086,1263
62674,1398
62253,583
62223,16309
62225,5128
62239,4715
62243,5795
62216,2742
62220,18302
62230,6279
62255,1279
62258,9253
62257,2678
62269,32029
62273,294
62275,3705
62277,1363
62572,516
62014,4131
62018,3034
62077,240
62063,1082
62234,32426
62098,24
62248,391
62282,406
62205,8007
62286,6110
62366,1589
62560,1196
62638,1364
62640,3583
62685,2416
62672,204
62093,477
62206,15121
62207,8913
62626,7710
62649,604
62667,445
62801,21444
62058,757
62630,365
62047,1443
62053,626
62061,1671
62281,2712
62293,4427
62803,1078
62882,2387
62208,16516
62214,1242
62002,31059
62009,1814
62010,11357
62040,42447
62050,354
62067,2755
62074,1333
62079,244
62260,7405
62265,4391
62278,6543
62295,1547
62284,549
62285,4436
62289,351
63386,392
62226,28666
62012,6426
62087,2172
62201,7570
62204,7954
62219,954
62025,34313
62027,494
62030,149
62031,749
62035,16520
62045,429
62046,769
62048,1829
62052,12292
62069,3088
62088,6569
62001,1796
62006,490
62013,693
62019,393
62023,117
62024,9916
62033,4515
62037,2205
62044,2094
62690,3991
62875,1253
62060,4586
62022,1060
62036,803
62054,781
62081,354
62091,380
62092,2932
62016,3674
62021,920
62028,1279
62231,7436
62249,15507
62266,87
62271,2153
62294,14117
62059,452
62095,10455
62097,3064
62215,1907
62236,13757
62250,461
62264,3745
62246,9916
62262,1503
62034,13667
62056,8574
62065,179
62090,1293
62203,8264
62217,748
62218,1820
62221,29949
62232,6705
62240,1727
62244,897
62245,1692
62254,6292
62279,7
62298,16608
62355,754
63147,9932
