GEOID_ZCTA,total_pop
63005,17887
63010,36008
63011,38436
63012,10676
63013,1783
63014,828
63015,2318
63016,7532
63017,41556
63019,4335
63020,19799
63021,56233
63023,5817
63025,14334
63026,43287
63028,22569
63031,47419
63033,42991
63034,17879
63037,2967
63038,7077
63039,555
63040,8258
63041,584
63042,19443
63043,22524
63044,10536
63045,0
63047,69
63048,3875
63049,17398
63050,15940
63051,14157
63052,27400
63053,56
63055,3133
63056,1751
63057,66
63060,2079
63061,169
63068,4597
63069,15247
63070,8120
63072,3306
63073,905
63074,15234
63077,11118
63079,24
63080,7478
63084,19212
63087,82
63088,8376
63089,5409
63090,22313
63091,311
63101,3307
63102,2201
63103,8307
63104,19913
63105,18333
63106,11409
63107,9490
63108,20704
63109,26562
63110,18208
63111,21141
63112,18744
63113,11371
63114,35487
63115,18213
63116,44290
63117,8978
63118,28324
63119,34119
63120,8691
63121,24634
63122,38686
63123,51130
63124,10827
63125,33031
63126,14781
63127,4986
63128,29823
63129,53671
63130,28909
63131,17627
63132,13427
63133,7336
63134,13525
63135,21869
63136,45411
63137,20039
63138,18582
63139,21933
63140,276
63141,20550
63143,9572
63144,8725
63146,30178
63147,9932
63155,0
63301,50675
63303,47906
63304,41277
63332,1253
63333,60
63334,614
63341,3663
63343,4088
63344,604
63347,2714
63348,6841
63349,2186
63357,5331
63359,38
63362,7346
63363,67
63366,49621
63367,24228
63368,46839
63369,1940
63370,13
63373,593
63376,74448
63377,2381
63379,25246
63381,459
63383,16394
63385,43634
63386,392
63387,54
63389,6962
63390,10946
63627,238
63628,322
65041,663
65441,33
63351,1028
